date,temperature,humidity,luminosity
2021-11-17 16:04:08.936,16.7,30.1,157
2021-11-17 16:04:08.833,16.7,30.1,156
2021-11-17 16:04:08.735,16.7,30.1,156
2021-11-17 16:04:08.633,16.7,30.1,156
2021-11-17 16:04:08.530,16.7,30.1,156
2021-11-17 16:04:08.428,16.7,30.1,156
2021-11-17 16:04:08.330,16.7,30.1,156
2021-11-17 16:04:08.227,16.7,30.1,156
2021-11-17 16:04:08.125,16.7,30.1,155
2021-11-17 16:04:08.026,16.7,30.1,156
2021-11-17 16:04:07.924,16.7,30.1,156
2021-11-17 16:04:07.822,16.7,30.1,155
2021-11-17 16:04:07.723,16.7,30.1,156
2021-11-17 16:04:07.621,16.7,30.1,155
2021-11-17 16:04:07.518,16.7,30.1,155
2021-11-17 16:04:07.420,16.7,30.1,155
2021-11-17 16:04:07.318,16.7,30.1,155
2021-11-17 16:04:07.215,16.7,30.1,156
2021-11-17 16:04:06.839,16.7,30.1,156
2021-11-17 16:04:06.740,16.7,30.1,156
2021-11-17 16:04:06.638,16.7,30.1,156
2021-11-17 16:04:06.536,16.7,30.1,156
2021-11-17 16:04:06.437,16.7,30.1,156
2021-11-17 16:04:06.335,16.7,30.1,156
2021-11-17 16:04:06.232,16.7,30.1,156
2021-11-17 16:04:06.130,16.7,30.1,156
2021-11-17 16:04:06.031,16.7,30.1,156
2021-11-17 16:04:05.929,16.7,30.1,156
2021-11-17 16:04:05.827,16.7,30.1,156
2021-11-17 16:04:05.728,16.7,30.1,156
2021-11-17 16:04:05.626,16.7,30.1,156
2021-11-17 16:04:05.524,16.7,30.1,156
2021-11-17 16:04:05.425,16.7,30.1,155
2021-11-17 16:04:05.323,16.7,30.1,155
2021-11-17 16:04:05.220,16.7,30.1,155
2021-11-17 16:04:05.122,16.7,30.1,156
2021-11-17 16:04:04.745,16.7,30.1,156
2021-11-17 16:04:04.643,16.7,30.1,156
2021-11-17 16:04:04.540,16.7,30.1,155
2021-11-17 16:04:04.442,16.7,30.1,155
2021-11-17 16:04:04.340,16.7,30.1,156
2021-11-17 16:04:04.237,16.7,30.1,155
2021-11-17 16:04:04.139,16.7,30.1,155
2021-11-17 16:04:04.036,16.7,30.1,155
2021-11-17 16:04:03.934,16.7,30.1,155
2021-11-17 16:04:03.832,16.7,30.1,155
2021-11-17 16:04:03.733,16.7,30.1,155
2021-11-17 16:04:03.631,16.7,30.1,156
2021-11-17 16:04:03.529,16.7,30.1,155
2021-11-17 16:04:03.430,16.7,30.1,155
2021-11-17 16:04:03.328,16.7,30.1,155
2021-11-17 16:04:03.226,16.7,30.1,155
2021-11-17 16:04:03.127,16.7,30.1,155
2021-11-17 16:04:03.025,16.7,30.1,156
2021-11-17 16:04:02.648,16.7,30.1,156
2021-11-17 16:04:02.545,16.7,30.1,156
2021-11-17 16:04:02.447,16.7,30.1,156
2021-11-17 16:04:02.345,16.7,30.1,156
2021-11-17 16:04:02.242,16.7,30.1,156
2021-11-17 16:04:02.144,16.7,30.1,156
2021-11-17 16:04:02.042,16.7,30.1,156
2021-11-17 16:04:01.939,16.7,30.1,156
2021-11-17 16:04:01.841,16.7,30.1,156
2021-11-17 16:04:01.739,16.7,30.1,156
2021-11-17 16:04:01.636,16.7,30.1,156
2021-11-17 16:04:01.534,16.7,30.1,156
2021-11-17 16:04:01.435,16.7,30.1,155
2021-11-17 16:04:01.333,16.7,30.1,156
2021-11-17 16:04:01.230,16.7,30.1,156
2021-11-17 16:04:01.132,16.7,30.1,156
2021-11-17 16:04:01.030,16.7,30.1,156
2021-11-17 16:04:00.927,16.7,30.1,156
2021-11-17 16:04:00.555,16.8,30.2,156
2021-11-17 16:04:00.452,16.8,30.2,157
2021-11-17 16:04:00.350,16.8,30.2,156
2021-11-17 16:04:00.247,16.8,30.2,156
2021-11-17 16:04:00.149,16.8,30.2,156
2021-11-17 16:04:00.047,16.8,30.2,156
2021-11-17 16:03:59.944,16.8,30.2,156
2021-11-17 16:03:59.846,16.8,30.2,156
2021-11-17 16:03:59.744,16.8,30.2,156
2021-11-17 16:03:59.641,16.8,30.2,156
2021-11-17 16:03:59.543,16.8,30.2,156
2021-11-17 16:03:59.440,16.8,30.2,156
2021-11-17 16:03:59.338,16.8,30.2,156
2021-11-17 16:03:59.236,16.8,30.2,155
2021-11-17 16:03:59.137,16.8,30.2,155
2021-11-17 16:03:59.035,16.8,30.2,155
2021-11-17 16:03:58.933,16.8,30.2,155
2021-11-17 16:03:58.834,16.8,30.2,156
2021-11-17 16:03:58.457,16.8,30.3,156
2021-11-17 16:03:58.355,16.8,30.3,156
2021-11-17 16:03:58.257,16.8,30.3,156
2021-11-17 16:03:58.154,16.8,30.3,156
2021-11-17 16:03:58.052,16.8,30.3,156
2021-11-17 16:03:57.949,16.8,30.3,156
2021-11-17 16:03:57.851,16.8,30.3,156
2021-11-17 16:03:57.749,16.8,30.3,156
2021-11-17 16:03:57.646,16.8,30.3,156
2021-11-17 16:03:57.548,16.8,30.3,156
